Channel Amplitude Average Sigma a b
1 6920.2488080813555 332270.99872320966 10570.73928029452 -0.0038276599404608977 1386.131347995928
2 1201.9641101335612 332894.636919408 14194.257580122166 -0.000526810946162991 201.47456627248724
3 3653.8969636629226 306783.76256785466 10557.985902177012 -0.002332981139434439 888.4223603588495
