Channel Amplitude Average AverageError Sigma SigmaError a b
1 4558.003867704649 258984.8434375515 115.89422582052933 9109.943997105622 132.88983442707672 -0.00424414689018598 1294.1015855672606
2 886.5085091472405 258388.2395968352 140.38598828118543 12445.40203063523 146.78489182759154 -0.00041970271327448916 151.0906330445373
3 2686.655852045516 238664.36333105486 112.05306994484995 9327.626644839518 130.25651138018614 -0.0023285268789953882 739.1138175329156
1 575.2218031609443 626120.4790518464 140.9552220269582 15588.17568070891 147.31637568782452 -0.00021317359308446347 142.72983552396582
2 112.23312064213405 631498.4065641331 393.0427916678096 20293.83702782275 424.8952767745712 -5.773478999718727e-05 41.537370907874035
3 331.09545375138003 579265.1973462957 251.78630920637087 15815.610890834487 269.2966811960469 -0.00017329517924489433 119.94530490559514
