Channel Amplitude Average AverageError Sigma SigmaError a b
1 2406.1590054693697 578526.3244090136 170.3045168051948 13774.570291534657 228.81410392764965 -0.0027386295307823797 1942.4784055876144
2 405.06900409246686 582435.0063276137 282.1139946012979 17902.098152609058 368.97852611089263 -0.0007878699541283793 574.0486847930545
3 1264.081818543284 534277.855126398 168.56566166932504 13891.788309438556 223.7018195397273 -0.0023389284451177474 1579.7944762505383
1 2019.734327629819 656208.1383776886 185.8645849336191 14830.432706626669 210.06028931316195 -0.0027386295307823797 1942.4784055876144
2 348.0630123851024 661107.8870852774 273.2162512624465 18826.966675440253 304.9800967622079 -0.0007878699541283793 574.0486847930545
3 1039.3552359643272 605993.3418206167 180.92569916595986 15109.752705718924 211.97421474489335 -0.0023389284451177474 1579.7944762505383
